car_park_slug,car_park_name,txn_ref,vrm,arrival,departure,transaction_time,stay_minutes,payment_type,card_scheme,net_charge,discount_code,product_id,discounted_net,vat_rate,vat_amount,amount_paid,psp,acquirer,psp_reference
riverside-retail,Riverside Retail Park,VP-20250301-32359407,WM45 YHL,01/03/2025 14:42,01/03/2025 17:31,01/03/2025 17:27,169,Contactless,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250322-31681843
riverside-retail,Riverside Retail Park,VP-20250301-07146781,OP57 RWE,01/03/2025 18:15,01/03/2025 20:02,01/03/2025 20:01,107,DEBIT_CARD,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250321-71746819
riverside-retail,Riverside Retail Park,VP-20250301-70501372,DS67 BPF,01/03/2025 14:17,01/03/2025 17:05,01/03/2025 17:02,168,CREDIT_CARD,MASTERCARD,5.0,PROMO-20,PROD-PR-003,4.0,0.2,0.8,4.8,ADVAM,Worldpay,ADVAM-20250305-94125849
riverside-retail,Riverside Retail Park,VP-20250301-95906829,VG51 FDV,01/03/2025 13:18,01/03/2025 15:03,01/03/2025 14:59,105,credit_card,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250314-11369273
riverside-retail,Riverside Retail Park,VP-20250301-99721737,UC49 YWF,01/03/2025 15:49,01/03/2025 18:17,01/03/2025 18:13,148,CONTACTLESS,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250312-30473129
riverside-retail,Riverside Retail Park,VP-20250301-83378900,CT52 FCO,01/03/2025 19:11,01/03/2025 19:57,01/03/2025 19:55,46,Contactless,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250308-85089555
riverside-retail,Riverside Retail Park,VP-20250301-52818765,OB12 OEK,01/03/2025 12:58,01/03/2025 18:44,01/03/2025 18:42,346,credit_card,VISA,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250326-02005242
riverside-retail,Riverside Retail Park,VP-20250301-36124971,BU14 SFT,01/03/2025 12:43,01/03/2025 13:55,01/03/2025 13:52,,DEBIT_CARD,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250308-23893863
riverside-retail,Riverside Retail Park,VP-20250301-04040510,PK52 RBV,01/03/2025 20:07,01/03/2025 22:56,01/03/2025 22:55,169,contactless,MAESTRO,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250322-48385309
riverside-retail,Riverside Retail Park,VP-20250301-52882053,AC16 URN,01/03/2025 18:42,01/03/2025 20:34,01/03/2025 20:30,112,credit_card,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250306-21839014
riverside-retail,Riverside Retail Park,VP-20250301-85130935,DT36 MNK,01/03/2025 16:42,01/03/2025 17:33,01/03/2025 17:29,51,CREDIT_CARD,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250331-34307060
riverside-retail,Riverside Retail Park,VP-20250301-18100552,LU71 KTA,01/03/2025 14:07,01/03/2025 14:40,01/03/2025 14:37,33,APP,VISA,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250315-71680266
riverside-retail,Riverside Retail Park,VP-20250301-50766844,YE08 MTU,01/03/2025 16:01,01/03/2025 16:34,01/03/2025 16:32,33,DEBIT_CARD,MAESTRO,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250303-03213671
riverside-retail,Riverside Retail Park,VP-20250301-47069164,EU65 MLK,01/03/2025 10:19,01/03/2025 12:16,01/03/2025 12:13,117,APP,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250331-35793678
riverside-retail,Riverside Retail Park,VP-20250301-28203178,YV60 MVO,01/03/2025 16:48,01/03/2025 19:21,01/03/2025 19:20,153,DEBIT_CARD,VISA,5.0,PROMO-20,PROD-PR-003,4.0,0.2,0.8,4.8,ADVAM,Worldpay,ADVAM-20250313-27700031
riverside-retail,Riverside Retail Park,VP-20250301-46444787,,01/03/2025 13:37,01/03/2025 17:04,01/03/2025 17:03,207,Contactless,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250326-12240390
riverside-retail,Riverside Retail Park,VP-20250301-24281884,NL39 VBV,01/03/2025 16:24,01/03/2025 16:12,01/03/2025 17:16,,Contactless,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250331-17306770
riverside-retail,Riverside Retail Park,VP-20250301-45344747,JF93 APF,01/03/2025 12:08,01/03/2025 13:47,01/03/2025 13:45,99,DEBIT_CARD,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250328-92386741
riverside-retail,Riverside Retail Park,VP-20250301-52953166,JJ45 PVG,01/03/2025 19:52,01/03/2025 22:26,01/03/2025 22:22,154,Debit_Card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250307-54327969
riverside-retail,Riverside Retail Park,VP-20250301-03659210,EE08 TAV,01/03/2025 09:03,01/03/2025 14:15,01/03/2025 14:10,312,App,MASTERCARD,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250311-68124467
riverside-retail,Riverside Retail Park,VP-20250301-28899676,XC19 CWJ,01/03/2025 15:50,01/03/2025 17:56,01/03/2025 17:55,126,debit_card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250317-57183031
riverside-retail,Riverside Retail Park,VP-20250301-38913322,BM23 YBF,01/03/2025 11:09,01/03/2025 15:33,01/03/2025 15:30,264,CREDIT_CARD,MASTERCARD,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250331-50949903
riverside-retail,Riverside Retail Park,VP-20250301-71117013,VP50 RWP,01/03/2025 13:00,01/03/2025 14:50,01/03/2025 14:49,110,contactless,AMEX,3.33,,,3.33,0.2,0.67,4.0,ADVAM,AMEX,ADVAM-20250306-15970604
riverside-retail,Riverside Retail Park,VP-20250301-04936568,NB54 SLC,01/03/2025 11:23,01/03/2025 14:17,01/03/2025 14:15,174,CREDIT_CARD,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250322-20149489
riverside-retail,Riverside Retail Park,VP-20250301-07477395,TY03 UXE,01/03/2025 17:08,01/03/2025 22:19,01/03/2025 22:16,311,CREDIT_CARD,MASTERCARD,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250307-86972917
riverside-retail,Riverside Retail Park,VP-20250301-15983783,SR93 KRV,01/03/2025 13:05,01/03/2025 14:17,01/03/2025 14:15,72,app,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250319-23073960
riverside-retail,Riverside Retail Park,VP-20250301-94231770,PK62 KTO,01/03/2025 12:09,01/03/2025 11:53,01/03/2025 12:55,,Debit_Card,VISA,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250325-73095436
riverside-retail,Riverside Retail Park,VP-20250301-20832056,TM62 ADE,01/03/2025 16:07,01/03/2025 16:36,01/03/2025 16:32,29,contactless,VISA,2.08,SEASON-Q1,PROD-SQ-002,0.0,0.2,0.0,0.0,ADVAM,Worldpay,ADVAM-20250329-86620436
riverside-retail,Riverside Retail Park,VP-20250301-91091579,LX56 LLN,01/03/2025 10:26,01/03/2025 12:18,01/03/2025 12:17,112,contactless,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250306-34646373
riverside-retail,Riverside Retail Park,VP-20250301-26799978,EL44 WHY,01/03/2025 16:22,01/03/2025 16:49,01/03/2025 16:47,27,app,MAESTRO,2.08,VALID-CODE,PROD-VC-004,0.0,0.2,0.0,0.0,ADVAM,Worldpay,ADVAM-20250303-70137714
riverside-retail,Riverside Retail Park,VP-20250301-87440250,YF64 OJV,01/03/2025 10:05,01/03/2025 12:54,01/03/2025 12:51,169,Debit_Card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250329-70558954
riverside-retail,Riverside Retail Park,VP-20250301-48359678,OC78 NLN,01/03/2025 16:29,01/03/2025 18:18,01/03/2025 18:16,109,App,AMEX,3.33,,,3.33,0.2,0.67,4.0,ADVAM,AMEX,ADVAM-20250329-19074944
riverside-retail,Riverside Retail Park,VP-20250301-08643543,DO70 KGR,01/03/2025 14:01,01/03/2025 14:41,01/03/2025 14:39,40,CREDIT_CARD,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250331-59067505
riverside-retail,Riverside Retail Park,VP-20250301-47766604,EB47 XAH,01/03/2025 10:15,01/03/2025 12:48,01/03/2025 12:46,153,contactless,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250313-23594150
riverside-retail,Riverside Retail Park,VP-20250301-91917466,XH69 XVS,01/03/2025 16:09,01/03/2025 16:25,01/03/2025 16:24,16,Credit_Card,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250312-86914151
riverside-retail,Riverside Retail Park,VP-20250301-22939447,WT22 OON,01/03/2025 17:20,01/03/2025 18:58,01/03/2025 18:53,98,App,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250316-51821760
riverside-retail,Riverside Retail Park,VP-20250301-47924019,FL59 UYB,01/03/2025 11:47,01/03/2025 13:54,01/03/2025 13:49,127,Debit_Card,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250326-56413634
riverside-retail,Riverside Retail Park,VP-20250301-15804030,TS78 UJU,01/03/2025 18:47,01/03/2025 21:06,01/03/2025 21:03,139,CREDIT_CARD,AMEX,5.0,,,5.0,0.2,1.0,6.0,ADVAM,AMEX,ADVAM-20250326-79150001
riverside-retail,Riverside Retail Park,VP-20250301-80575706,PK19 LYO,01/03/2025 15:01,01/03/2025 15:37,01/03/2025 15:34,36,debit_card,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250325-74546726
riverside-retail,Riverside Retail Park,VP-20250301-05102189,JF51 HDD,01/03/2025 12:48,01/03/2025 14:33,01/03/2025 14:31,105,debit_card,AMEX,3.33,,,3.33,0.2,0.67,4.0,ADVAM,AMEX,ADVAM-20250326-90152109
riverside-retail,Riverside Retail Park,VP-20250301-37545090,TP99 YEY,01/03/2025 18:51,01/03/2025 21:44,01/03/2025 21:41,173,app,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250318-50544795
riverside-retail,Riverside Retail Park,VP-20250301-91024462,GC96 SNS,01/03/2025 16:03,01/03/2025 18:11,01/03/2025 18:10,128,CASH,N/A,5.0,SEASON-Q1,PROD-SQ-002,0.0,0.2,0.0,0.0,N/A,N/A,N/A
riverside-retail,Riverside Retail Park,VP-20250301-97121940,RK92 JGE,01/03/2025 15:06,01/03/2025 15:59,01/03/2025 15:57,53,CONTACTLESS,MAESTRO,2.08,PROMO-20,PROD-PR-003,1.66,0.2,0.33,1.99,ADVAM,Worldpay,ADVAM-20250329-70664017
riverside-retail,Riverside Retail Park,VP-20250301-31670669,EM90 RDO,01/03/2025 19:05,01/03/2025 21:30,01/03/2025 21:26,145,debit_card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250306-14267843
riverside-retail,Riverside Retail Park,VP-20250301-56393249,UH30 SBE,01/03/2025 14:11,01/03/2025 16:04,01/03/2025 15:59,113,debit_card,AMEX,3.33,,,3.33,0.2,0.67,4.0,ADVAM,AMEX,ADVAM-20250314-08145611
riverside-retail,Riverside Retail Park,VP-20250301-79601758,OW48 EKB,01/03/2025 15:16,01/03/2025 17:53,01/03/2025 17:52,157,Credit_Card,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250314-71573868
riverside-retail,Riverside Retail Park,VP-20250301-33588911,AR71 UMF,01/03/2025 10:11,01/03/2025 13:01,01/03/2025 13:00,170,debit_card,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250314-92901636
riverside-retail,Riverside Retail Park,VP-20250301-45593278,TR61 MAN,01/03/2025 12:27,01/03/2025 14:54,01/03/2025 14:50,147,CONTACTLESS,MAESTRO,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250316-34938723
riverside-retail,Riverside Retail Park,VP-20250301-61213785,OJ03 XFJ,01/03/2025 12:23,01/03/2025 16:47,01/03/2025 16:43,264,Debit_Card,MASTERCARD,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250313-77877591
riverside-retail,Riverside Retail Park,VP-20250301-43538772,XH72 RGE,01/03/2025 17:32,01/03/2025 19:32,01/03/2025 19:28,,DEBIT_CARD,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250301-98280438
riverside-retail,Riverside Retail Park,VP-20250301-85113647,MP32 HDK,01/03/2025 18:54,01/03/2025 21:07,01/03/2025 21:04,133,contactless,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250324-35350485
riverside-retail,Riverside Retail Park,VP-20250301-39962303,TU13 XJL,01/03/2025 17:29,01/03/2025 19:56,01/03/2025 19:54,147,credit_card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250310-29712538
riverside-retail,Riverside Retail Park,VP-20250301-12818189,XN53 NKH,01/03/2025 12:46,01/03/2025 16:26,01/03/2025 16:22,220,CREDIT_CARD,MAESTRO,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250321-13507628
riverside-retail,Riverside Retail Park,VP-20250301-61058810,BS09 BAK,01/03/2025 11:06,01/03/2025 10:40,01/03/2025 13:13,,DEBIT_CARD,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250323-80430085
riverside-retail,Riverside Retail Park,VP-20250301-48914543,RD04 LKR,01/03/2025 09:33,01/03/2025 11:29,01/03/2025 11:24,116,CONTACTLESS,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250306-20722290
riverside-retail,Riverside Retail Park,VP-20250301-00334148,,01/03/2025 11:02,01/03/2025 12:13,01/03/2025 12:09,71,Debit_Card,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250302-71344596
riverside-retail,Riverside Retail Park,VP-20250301-41767907,MG76 ARW,01/03/2025 11:25,01/03/2025 13:06,01/03/2025 13:04,101,App,MAESTRO,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250315-82555980
riverside-retail,Riverside Retail Park,VP-20250301-30090710,YV10 GMK,01/03/2025 11:41,01/03/2025 14:37,01/03/2025 14:34,176,Contactless,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250329-78964729
riverside-retail,Riverside Retail Park,VP-20250301-34358984,DD27 BYA,01/03/2025 10:53,01/03/2025 11:31,01/03/2025 11:26,38,CREDIT_CARD,VISA,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250316-95264936
riverside-retail,Riverside Retail Park,VP-20250301-13084377,GK74 JYD,01/03/2025 15:08,01/03/2025 14:57,01/03/2025 16:24,,DEBIT_CARD,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250305-57347286
riverside-retail,Riverside Retail Park,VP-20250301-82938897,CD46 YGY,01/03/2025 18:04,01/03/2025 20:59,01/03/2025 20:58,175,DEBIT_CARD,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250320-66582301
riverside-retail,Riverside Retail Park,VP-20250301-04094528,AR14 TLN,01/03/2025 09:02,01/03/2025 11:51,01/03/2025 11:50,169,Credit_Card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250331-79259093
riverside-retail,Riverside Retail Park,VP-20250301-72421071,VH21 RRV,01/03/2025 11:20,01/03/2025 14:57,01/03/2025 14:55,217,Debit_Card,MASTERCARD,5.0,SEASON-Q1,PROD-SQ-002,0.0,0.2,0.0,0.0,ADVAM,Worldpay,ADVAM-20250331-22178414
riverside-retail,Riverside Retail Park,VP-20250301-77399126,JY46 PNU,01/03/2025 11:38,01/03/2025 12:20,01/03/2025 12:16,42,Credit_Card,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250302-66927896
riverside-retail,Riverside Retail Park,VP-20250301-85141385,LC42 MXE,01/03/2025 12:33,01/03/2025 16:45,01/03/2025 16:40,252,CREDIT_CARD,VISA,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250328-60857882
riverside-retail,Riverside Retail Park,VP-20250301-55453481,KG37 MAT,01/03/2025 13:53,01/03/2025 16:19,01/03/2025 16:16,146,Debit_Card,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250319-49695928
riverside-retail,Riverside Retail Park,VP-20250301-50596557,FK96 ECG,01/03/2025 13:55,01/03/2025 14:32,01/03/2025 14:31,37,Debit_Card,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250331-56970479
riverside-retail,Riverside Retail Park,VP-20250301-26498311,LD93 DES,01/03/2025 13:56,01/03/2025 15:13,01/03/2025 15:09,77,Credit_Card,AMEX,3.33,,,3.33,0.2,0.67,4.0,ADVAM,AMEX,ADVAM-20250304-06293373
riverside-retail,Riverside Retail Park,VP-20250301-98103851,LY64 HLN,01/03/2025 15:22,01/03/2025 17:05,01/03/2025 17:04,103,debit_card,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250328-86001815
riverside-retail,Riverside Retail Park,VP-20250301-39781645,KX99 NMF,01/03/2025 13:21,01/03/2025 16:08,01/03/2025 16:04,167,DEBIT_CARD,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250316-67174901
riverside-retail,Riverside Retail Park,VP-20250301-60756229,AY70 SMY,01/03/2025 18:52,01/03/2025 23:51,01/03/2025 23:50,299,Debit_Card,MASTERCARD,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250307-01495607
riverside-retail,Riverside Retail Park,VP-20250301-08598970,NA25 YJY,01/03/2025 10:13,01/03/2025 09:45,01/03/2025 10:52,,Contactless,VISA,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250325-25042118
riverside-retail,Riverside Retail Park,VP-20250301-01426284,AE00 RKS,01/03/2025 15:05,01/03/2025 15:00,01/03/2025 15:34,,CONTACTLESS,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250304-67096573
riverside-retail,Riverside Retail Park,VP-20250301-33824170,XR98 HDU,01/03/2025 16:30,01/03/2025 19:02,01/03/2025 19:00,152,contactless,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250311-22972252
riverside-retail,Riverside Retail Park,VP-20250301-01004015,,01/03/2025 11:36,01/03/2025 17:30,01/03/2025 17:27,354,Debit_Card,VISA,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250309-39544785
riverside-retail,Riverside Retail Park,VP-20250301-49121508,PS49 LWX,01/03/2025 16:47,01/03/2025 19:59,01/03/2025 19:55,192,debit_card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250330-30346196
riverside-retail,Riverside Retail Park,VP-20250301-71544313,YA51 OOF,01/03/2025 11:51,01/03/2025 14:21,01/03/2025 14:18,150,DEBIT_CARD,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250311-96446351
riverside-retail,Riverside Retail Park,VP-20250301-23446938,KM18 BSG,01/03/2025 11:24,01/03/2025 12:16,01/03/2025 12:15,52,Credit_Card,VISA,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250330-99770261
riverside-retail,Riverside Retail Park,VP-20250301-92497016,XF85 OSW,01/03/2025 10:41,01/03/2025 11:43,01/03/2025 11:39,62,CONTACTLESS,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250307-79238592
riverside-retail,Riverside Retail Park,VP-20250301-90363485,MJ16 JKX,01/03/2025 13:39,01/03/2025 14:04,01/03/2025 14:03,25,CONTACTLESS,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250314-71796467
riverside-retail,Riverside Retail Park,VP-20250301-27207765,WA51 GNV,01/03/2025 15:27,01/03/2025 17:22,01/03/2025 17:20,115,CASH,N/A,3.33,SEASON-Q1,PROD-SQ-002,0.0,0.2,0.0,0.0,N/A,N/A,N/A
