id,site_uuid,site_name,entry_time,exit_time,duration_mins,vehicle_class,payment_method,card_scheme,charge,discount_code,product_id,psp,acquirer,psp_reference
EE-000018,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:41:24Z,2025-03-01T13:38:24Z,117,VAN,CREDIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-79E905495788151A
EE-000019,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:53:38Z,2025-03-01T18:26:38Z,153,CAR,DEBIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-0E4245135BCB859D
EE-000020,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:00:05Z,2025-03-01T11:14:05Z,74,MOTORCYCLE,APP,MASTERCARD,£3.50,,,SIX,Worldpay,SIX-7761ED7254E29FB8
EE-000021,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:20:04Z,2025-03-01T17:11:04Z,171,VAN,DEBIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-9BADD9274CBB4019
EE-000022,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:15:38Z,2025-03-01T17:27:38Z,252,DISABLED_BADGE,CONTACTLESS,VISA,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-A24BA9FB7C30B588
EE-000023,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:48:30Z,2025-03-01T18:25:30Z,157,DISABLED_BADGE,DEBIT_CARD,MASTERCARD,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-2B6340F854F32FFF
EE-000024,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:18:45Z,2025-03-01T13:07:45Z,109,VAN,CONTACTLESS,VISA,£3.50,,,SIX,Worldpay,SIX-1936A900623EA82B
EE-000025,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T18:56:11Z,2025-03-01T22:51:11Z,235,VAN,CONTACTLESS,AMEX,£4.00,PROMO-20,PROD-PR-003,SIX,AMEX,SIX-4188AC5ECF14139A
EE-000026,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:02:33Z,2025-03-01T13:58:33Z,176,CAR,APP,VISA,£5.00,,,SIX,Worldpay,SIX-7B12B95719E929E9
EE-000027,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:59:02Z,2025-03-01T18:51:02Z,52,MOTORCYCLE,DEBIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-D06259D83CC5EE53
EE-000028,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:23:58Z,2025-03-01T12:01:58Z,-50,CAR,DEBIT_CARD,MASTERCARD,£3.50,,,SIX,Worldpay,SIX-D07BCE108A949486
EE-000029,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:33:44Z,2025-03-01T14:19:44Z,106,CAR,CREDIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-AE8613B27E5A3784
EE-000030,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:57:14Z,2025-03-01T16:12:14Z,75,CAR,CONTACTLESS,VISA,£3.50,,,SIX,Worldpay,SIX-7E101B0A7E93FDAF
EE-000031,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:17:04Z,2025-03-01T12:06:04Z,49,CAR,CONTACTLESS,MASTERCARD,£2.00,,,SIX,Worldpay,SIX-35ADC5421A808B6D
EE-000032,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T20:16:43Z,2025-03-02T00:04:43Z,228,MOTORCYCLE,CREDIT_CARD,MAESTRO,£5.00,,,SIX,Worldpay,SIX-5B2CD892353FC08C
EE-000033,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:41:23Z,2025-03-01T11:22:23Z,41,CAR,CREDIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-86C33D2685DD926F
EE-000034,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:50:53Z,2025-03-01T15:24:53Z,34,CAR,CASH,N/A,£2.00,,,N/A,N/A,N/A
EE-000035,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:35:37Z,2025-03-01T18:44:37Z,249,CAR,APP,AMEX,£7.00,,,SIX,AMEX,SIX-59319F43D6C1C4BE
EE-000036,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:23:36Z,2025-03-01T12:11:36Z,48,CAR,DEBIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-EF8B46A7FDAA7073
EE-000037,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:08:17Z,2025-03-01T17:32:17Z,24,VAN,CREDIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-61F5B47662A1C158
EE-000038,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:01:04Z,2025-03-01T17:54:04Z,173,DISABLED_BADGE,DEBIT_CARD,MAESTRO,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-AFDA7644DDE20799
EE-000039,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:48:45Z,,,CAR,APP,AMEX,£7.00,,,SIX,AMEX,SIX-62540AADE2E6B583
EE-000040,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:45:56Z,2025-03-01T15:33:56Z,168,MOTORCYCLE,CONTACTLESS,VISA,£5.00,,,SIX,Worldpay,SIX-E6163A64CE96459F
EE-000041,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:38:02Z,2025-03-01T12:41:02Z,123,CAR,CREDIT_CARD,MASTERCARD,£1.50,VALID-CODE,PROD-VC-004,SIX,Worldpay,SIX-5772C7D31FAFD005
EE-000042,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:24:10Z,,,VAN,CREDIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-9E5E41025E5F3431
EE-000043,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:33:06Z,2025-03-01T21:31:06Z,238,CAR,APP,VISA,£5.00,,,SIX,Worldpay,SIX-3653FEDFF22C5FD9
EE-000044,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:16:38Z,2025-03-01T17:51:38Z,35,CAR,DEBIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-3B36112DFAD04773
EE-000045,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:45:26Z,,,DISABLED_BADGE,DEBIT_CARD,VISA,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-D532F0E343F4EF42
EE-000046,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:28:04Z,2025-03-01T15:44:04Z,76,CAR,CREDIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-3A2892859B1FAEE6
EE-000047,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:34:57Z,2025-03-01T18:21:57Z,167,CAR,APP,AMEX,£5.00,,,SIX,AMEX,SIX-9F47B55E4344D33B
EE-000048,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:17:29Z,2025-03-01T14:21:29Z,64,CAR,CONTACTLESS,MASTERCARD,£3.50,,,SIX,Worldpay,SIX-CB2B4C56D74A3FD1
EE-000049,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:09:16Z,2025-03-01T19:36:16Z,327,DISABLED_BADGE,CONTACTLESS,AMEX,£0.00,BLUE-BADGE,PROD-BB-001,SIX,AMEX,SIX-B216917CF1C04EC0
EE-000050,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:35:01Z,2025-03-01T15:38:01Z,-43,DISABLED_BADGE,CREDIT_CARD,VISA,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-0DE628790BF56624
EE-000051,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T18:19:44Z,2025-03-01T20:06:44Z,107,VAN,CONTACTLESS,MASTERCARD,£3.50,,,SIX,Worldpay,SIX-61E5A1254B61FE70
EE-000052,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:44:15Z,2025-03-01T17:44:15Z,180,DISABLED_BADGE,APP,AMEX,£0.00,BLUE-BADGE,PROD-BB-001,SIX,AMEX,SIX-F9A0B590CA604567
EE-000053,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:23:26Z,2025-03-01T17:27:26Z,304,CAR,CONTACTLESS,MASTERCARD,£7.00,,,SIX,Worldpay,SIX-C40D9F7F87137BFA
EE-000054,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T20:57:11Z,2025-03-01T21:13:11Z,16,VAN,DEBIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-A276A0A8FABF4FDC
EE-000055,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:17:20Z,2025-03-01T13:04:20Z,167,VAN,APP,VISA,£5.00,,,SIX,Worldpay,SIX-D63EF3D1A48803A2
EE-000056,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:53:54Z,2025-03-01T13:43:54Z,50,CAR,CREDIT_CARD,MASTERCARD,£2.00,,,SIX,Worldpay,SIX-CABDC02FC06D2602
EE-000057,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T16:36:13Z,2025-03-01T18:56:13Z,140,VAN,CONTACTLESS,VISA,£5.00,,,SIX,Worldpay,SIX-DBE3B1E46BB3B694
EE-000058,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:34:29Z,,,VAN,DEBIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-A9C760F5AE848DF1
EE-000059,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:59:17Z,2025-03-01T15:55:17Z,296,CAR,DEBIT_CARD,VISA,£7.00,,,SIX,Worldpay,SIX-7CEC13D1094ECA26
EE-000060,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:20:06Z,2025-03-01T11:14:06Z,54,DISABLED_BADGE,CREDIT_CARD,MASTERCARD,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-4413662A18969B74
EE-000061,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:39:57Z,2025-03-01T16:30:57Z,291,DISABLED_BADGE,DEBIT_CARD,MASTERCARD,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-A5AF372A70B2280D
EE-000062,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:23:41Z,2025-03-01T18:26:41Z,303,CAR,CONTACTLESS,VISA,£7.00,,,SIX,Worldpay,SIX-CA71EB8600A7CE59
EE-000063,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:10:18Z,2025-03-01T14:05:18Z,55,MOTORCYCLE,CONTACTLESS,AMEX,£2.00,,,SIX,AMEX,SIX-ECA40673419E621B
EE-000064,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:12:43Z,2025-03-01T20:31:43Z,319,MOTORCYCLE,DEBIT_CARD,VISA,£7.00,,,SIX,Worldpay,SIX-31662C98993EC2CF
EE-000065,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:53:28Z,2025-03-01T16:32:28Z,279,CAR,CONTACTLESS,AMEX,£0.00,SEASON-Q1,PROD-SQ-002,SIX,AMEX,SIX-624C36AECA947D22
EE-000066,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T08:24:20Z,2025-03-01T14:12:20Z,348,CAR,CONTACTLESS,AMEX,£7.00,,,SIX,AMEX,SIX-B596D01756DA35CC
EE-000067,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T18:51:48Z,2025-03-01T21:50:48Z,179,CAR,CONTACTLESS,VISA,£5.00,,,SIX,Worldpay,SIX-A9A89240E55D8324
EE-000068,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:25:45Z,2025-03-01T18:02:45Z,-51,CAR,DEBIT_CARD,VISA,£5.00,,,SIX,Worldpay,SIX-C7DEA275AE509A1F
EE-000069,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:48:46Z,2025-03-01T15:35:46Z,47,VAN,CREDIT_CARD,AMEX,£2.00,,,SIX,AMEX,SIX-256D3BE4C76AEDA7
EE-000070,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T16:32:42Z,2025-03-01T17:36:42Z,64,CAR,CREDIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-B252816E898FB557
EE-000071,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:18:31Z,2025-03-01T12:50:31Z,32,CAR,CONTACTLESS,MASTERCARD,£2.00,,,SIX,Worldpay,SIX-C4CB2362AD66E152
EE-000072,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:39:23Z,2025-03-01T18:17:23Z,158,CAR,CREDIT_CARD,AMEX,£5.00,,,SIX,AMEX,SIX-E41B63D81BF0266D
EE-000073,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:42:15Z,2025-03-01T15:26:15Z,104,CAR,DEBIT_CARD,AMEX,£3.50,,,SIX,AMEX,SIX-F29639DDFF1D7062
EE-000074,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T18:00:57Z,2025-03-01T18:49:57Z,49,CAR,DEBIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-72D9B0F8AD327414
EE-000075,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T19:10:11Z,2025-03-01T22:00:11Z,170,MOTORCYCLE,CASH,N/A,£5.00,,,N/A,N/A,N/A
EE-000076,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:44:09Z,2025-03-01T22:35:09Z,291,CAR,CREDIT_CARD,MASTERCARD,£7.00,,,SIX,Worldpay,SIX-B6BF9CE625C6157E
EE-000077,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:05:01Z,2025-03-01T17:23:01Z,258,CAR,CREDIT_CARD,MASTERCARD,£0.00,SEASON-Q1,PROD-SQ-002,SIX,Worldpay,SIX-6690FEE4CA858516
EE-000078,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:03:57Z,,,DISABLED_BADGE,DEBIT_CARD,MAESTRO,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-53D670F3C5CB6991
EE-000079,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:07:14Z,2025-03-01T16:54:14Z,167,CAR,DEBIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-06A36B75AB084A8A
EE-000080,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:16:29Z,2025-03-01T16:12:29Z,356,CAR,CREDIT_CARD,MASTERCARD,£7.00,,,SIX,Worldpay,SIX-A51608B710BB86C0
EE-000081,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:38:55Z,2025-03-01T16:38:55Z,60,CAR,DEBIT_CARD,AMEX,£2.00,,,SIX,AMEX,SIX-25970737B713D439
EE-000082,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T16:29:10Z,2025-03-01T17:41:10Z,72,VAN,DEBIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-76EE76B0B290AB9F
EE-000083,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:56:43Z,2025-03-01T14:33:43Z,97,CAR,CONTACTLESS,MAESTRO,£2.80,PROMO-20,PROD-PR-003,SIX,Worldpay,SIX-6399B59256E967A5
EE-000084,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:49:43Z,2025-03-01T16:32:43Z,43,CAR,APP,MASTERCARD,£2.00,,,SIX,Worldpay,SIX-5A24B3833069FD41
EE-000085,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T09:54:34Z,2025-03-01T12:25:34Z,151,DISABLED_BADGE,CREDIT_CARD,VISA,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-1500BBB5EA5625F7
EE-000086,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:04:41Z,2025-03-01T14:02:41Z,178,VAN,APP,VISA,£5.00,,,SIX,Worldpay,SIX-1AB038DEAFC7E293
EE-000087,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:08:26Z,2025-03-01T16:07:26Z,179,CAR,CONTACTLESS,MAESTRO,£5.00,,,SIX,Worldpay,SIX-AC6E7A2DC3EC0978
EE-000088,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:17:31Z,,,VAN,DEBIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-B42C5F83D6E9DA94
EE-000089,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:45:54Z,2025-03-01T20:41:54Z,-46,CAR,CREDIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-495FEB0ED3D08A49
EE-000090,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:00:27Z,2025-03-01T12:04:27Z,-7,CAR,DEBIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-A64D3524719E5248
EE-000091,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:35:35Z,2025-03-01T19:53:35Z,318,CAR,DEBIT_CARD,MASTERCARD,£7.00,,,SIX,Worldpay,SIX-42A00D744DE74AD0
EE-000092,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:56:38Z,2025-03-01T19:47:38Z,111,CAR,CONTACTLESS,MASTERCARD,£3.50,,,SIX,Worldpay,SIX-9548F0794746F6CC
EE-000093,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:59:44Z,2025-03-01T15:29:44Z,90,VAN,CREDIT_CARD,MASTERCARD,£3.50,,,SIX,Worldpay,SIX-7860EC048061A9C3
EE-000094,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:41:42Z,2025-03-01T13:41:42Z,180,CAR,DEBIT_CARD,VISA,£5.00,,,SIX,Worldpay,SIX-EEC693E6509C23F7
EE-000095,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T19:58:02Z,2025-03-01T22:35:02Z,157,CAR,CREDIT_CARD,VISA,£5.00,,,SIX,Worldpay,SIX-02A09EE2637D1FD8
EE-000096,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:05:17Z,2025-03-01T11:17:17Z,72,CAR,DEBIT_CARD,MAESTRO,£3.50,,,SIX,Worldpay,SIX-05E3830A51C3C311
EE-000097,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:53:11Z,2025-03-01T13:30:11Z,97,CAR,APP,VISA,£3.50,,,SIX,Worldpay,SIX-1F385D9925148E72
EE-000098,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:39:20Z,2025-03-01T15:34:20Z,175,CAR,CREDIT_CARD,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-AF7F66C958BA9C5A
EE-000099,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T18:30:52Z,2025-03-01T18:54:52Z,24,VAN,CASH,N/A,£2.00,,,N/A,N/A,N/A
EE-000100,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:54:19Z,2025-03-01T15:11:19Z,137,CAR,CREDIT_CARD,AMEX,£5.00,,,SIX,AMEX,SIX-6AABBCECC1B6E8A8
EE-000101,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:16:57Z,2025-03-01T15:47:57Z,31,CAR,CREDIT_CARD,MAESTRO,£2.00,,,SIX,Worldpay,SIX-96C994A347CE92A4
EE-000102,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:31:00Z,2025-03-01T16:43:00Z,252,CAR,APP,VISA,£7.00,,,SIX,Worldpay,SIX-EB72075FA2A9A758
EE-000103,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:58:09Z,2025-03-01T14:27:09Z,29,CAR,DEBIT_CARD,AMEX,£2.00,,,SIX,AMEX,SIX-28A1EB9C9FBC0192
EE-000104,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:18:47Z,2025-03-01T11:38:47Z,20,CAR,DEBIT_CARD,VISA,£2.00,,,SIX,Worldpay,SIX-387E5BBF98A9CFF5
EE-000105,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:18:30Z,,,VAN,CONTACTLESS,VISA,£3.50,,,SIX,Worldpay,SIX-CBC254227FBDC68E
EE-000106,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:11:20Z,2025-03-01T11:44:20Z,33,VAN,DEBIT_CARD,VISA,£0.00,VALID-CODE,PROD-VC-004,SIX,Worldpay,SIX-79634C3D88A5A31D
