site_uuid,site_name,id,ticket_number,entry_time,exit_time,transaction_time,duration_mins,payment_method,card_scheme,full_price,discount_code,product_id,discounted_price,vat_pct,tax_amount,charged,psp,acquirer,psp_reference
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000011,TKT-SLS-000011,2025-03-01T11:15:10Z,2025-03-01T11:50:10Z,2025-03-01T11:48:10Z,35,CREDIT_CARD,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-EC6BFEFBF8E54FCF
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000012,TKT-SLS-000012,2025-03-01T16:28:11Z,2025-03-01T20:20:11Z,2025-03-01T20:15:11Z,232,CONTACTLESS,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-B32D8986C7F4FFE9
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000013,TKT-SLS-000013,2025-03-01T18:48:43Z,2025-03-01T19:46:43Z,2025-03-01T19:42:43Z,58,CREDIT_CARD,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-CF5D8118E925A137
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000014,TKT-SLS-000014,2025-03-01T18:32:45Z,2025-03-01T21:02:45Z,2025-03-01T21:00:45Z,150,DEBIT_CARD,MASTERCARD,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-9012B5CEC8257687
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000015,TKT-SLS-000015,2025-03-01T15:11:58Z,2025-03-01T17:28:58Z,2025-03-01T17:27:58Z,137,CONTACTLESS,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-5B0012469B6DF827
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000016,TKT-SLS-000016,2025-03-01T19:08:34Z,2025-03-01T22:04:34Z,2025-03-01T22:02:34Z,176,CREDIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-CF2DCED8957C8371
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000017,TKT-SLS-000017,2025-03-01T13:24:13Z,2025-03-01T15:36:13Z,2025-03-01T15:35:13Z,132,CONTACTLESS,MAESTRO,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-B99660F81976FECF
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000018,TKT-SLS-000018,2025-03-01T17:55:21Z,2025-03-01T19:25:21Z,2025-03-01T19:22:21Z,90,DEBIT_CARD,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-4C826781F7A11364
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000019,TKT-SLS-000019,2025-03-01T10:00:29Z,2025-03-01T11:16:29Z,2025-03-01T11:15:29Z,76,DEBIT_CARD,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-993A3191F034C24A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000020,TKT-SLS-000020,2025-03-01T10:40:53Z,2025-03-01T13:02:53Z,2025-03-01T12:58:53Z,142,APP,MASTERCARD,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-1E900C8874F0D258
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000021,TKT-SLS-000021,2025-03-01T18:19:27Z,2025-03-01T20:34:27Z,2025-03-01T20:30:27Z,135,CONTACTLESS,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-5FB0543E95391011
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000022,TKT-SLS-000022,2025-03-01T11:48:00Z,2025-03-01T13:13:00Z,2025-03-01T13:10:00Z,85,CREDIT_CARD,MAESTRO,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-DD95413F4A423992
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000023,TKT-SLS-000023,2025-03-01T15:25:27Z,2025-03-01T16:00:27Z,2025-03-01T15:58:27Z,35,DEBIT_CARD,VISA,£2.00,VALID-CODE,PROD-VC-004,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-51FC44F3E8617833
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000024,TKT-SLS-000024,2025-03-01T18:49:10Z,2025-03-01T21:07:10Z,2025-03-01T21:05:10Z,138,CREDIT_CARD,VISA,£5.00,SEASON-Q1,PROD-SQ-002,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-CF8AA88533F3B094
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000025,TKT-SLS-000025,2025-03-01T13:56:50Z,2025-03-01T16:27:50Z,2025-03-01T16:22:50Z,151,CONTACTLESS,MASTERCARD,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-21D7D91A6DA555B2
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000026,TKT-SLS-000026,2025-03-01T17:31:13Z,2025-03-01T18:26:13Z,2025-03-01T18:25:13Z,55,APP,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-8C8B08D0E51BEB1A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000027,TKT-SLS-000027,2025-03-01T17:36:50Z,2025-03-01T18:15:50Z,2025-03-01T18:11:50Z,39,CONTACTLESS,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-50F87BED1E720DB7
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000028,TKT-SLS-000028,2025-03-01T10:36:30Z,2025-03-01T12:06:30Z,2025-03-01T12:05:30Z,90,CREDIT_CARD,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-1D4888389F3CB376
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000029,TKT-SLS-000029,2025-03-01T16:39:15Z,2025-03-01T17:15:15Z,2025-03-01T17:10:15Z,36,APP,VISA,£2.00,PROMO-20,PROD-PR-003,£1.60,20,£0.27,£1.60,SIX,Worldpay,SIX-E46396AD289B6026
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000030,TKT-SLS-000030,2025-03-01T10:35:04Z,2025-03-01T11:00:04Z,2025-03-01T10:58:04Z,25,CONTACTLESS,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-CB30D15E13581E01
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000031,TKT-SLS-000031,2025-03-01T11:46:29Z,2025-03-01T12:40:29Z,2025-03-01T12:37:29Z,54,CONTACTLESS,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-3081B9C19BC70A57
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000032,TKT-SLS-000032,2025-03-01T13:23:36Z,2025-03-01T15:04:36Z,2025-03-01T15:01:36Z,101,CONTACTLESS,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-5017014E5B16E970
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000033,TKT-SLS-000033,2025-03-01T12:38:55Z,2025-03-01T13:31:55Z,2025-03-01T13:28:55Z,53,CONTACTLESS,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-4492DBF70F1FF2A3
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000034,TKT-SLS-000034,2025-03-01T10:45:28Z,2025-03-01T11:02:28Z,2025-03-01T10:57:28Z,17,CREDIT_CARD,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-865E5C7B6307449D
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000035,TKT-SLS-000035,2025-03-01T15:25:36Z,2025-03-01T17:34:36Z,2025-03-01T17:30:36Z,129,CASH,N/A,£5.00,,,£5.00,20,£0.83,£5.00,N/A,N/A,N/A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000036,TKT-SLS-000036,2025-03-01T10:31:22Z,2025-03-01T11:35:22Z,2025-03-01T11:31:22Z,64,CREDIT_CARD,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-1E1DC2D1D1877682
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000037,TKT-SLS-000037,2025-03-01T12:41:48Z,2025-03-01T13:05:48Z,2025-03-01T13:00:48Z,24,CONTACTLESS,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-9EC34B5508ED7FFC
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000038,TKT-SLS-000038,2025-03-01T18:51:46Z,2025-03-01T20:37:46Z,2025-03-01T20:33:46Z,106,DEBIT_CARD,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-D52617D0CEEFB5AC
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000039,TKT-SLS-000039,2025-03-01T11:06:01Z,2025-03-01T12:12:01Z,2025-03-01T12:08:01Z,66,CONTACTLESS,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-57EAF6E39219B941
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000040,TKT-SLS-000040,2025-03-01T11:18:20Z,2025-03-01T13:13:20Z,2025-03-01T13:09:20Z,115,CONTACTLESS,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-8F8637446B9274D9
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000041,TKT-SLS-000041,2025-03-01T19:12:24Z,2025-03-01T21:26:24Z,2025-03-01T21:22:24Z,134,CREDIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-CFD1524FB6A258F9
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000042,TKT-SLS-000042,2025-03-01T10:16:34Z,2025-03-01T11:04:34Z,2025-03-01T11:02:34Z,48,CREDIT_CARD,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-ADE180E03DBB0103
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000043,TKT-SLS-000043,2025-03-01T11:22:13Z,2025-03-01T12:29:13Z,2025-03-01T12:25:13Z,67,DEBIT_CARD,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-20DA9CBE686C5C31
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000044,TKT-SLS-000044,2025-03-01T11:00:09Z,2025-03-01T13:38:09Z,2025-03-01T13:33:09Z,158,CASH,N/A,£5.00,,,£5.00,20,£0.83,£5.00,N/A,N/A,N/A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000045,TKT-SLS-000045,2025-03-01T18:07:14Z,2025-03-01T20:55:14Z,2025-03-01T20:53:14Z,168,APP,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-4B95185D7AE0CCE4
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000046,TKT-SLS-000046,2025-03-01T11:25:40Z,2025-03-01T12:59:40Z,2025-03-01T12:55:40Z,94,APP,MASTERCARD,£3.50,VALID-CODE,PROD-VC-004,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-7EC153252C5122EC
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000047,TKT-SLS-000047,2025-03-01T12:43:27Z,2025-03-01T14:17:27Z,2025-03-01T14:15:27Z,94,DEBIT_CARD,MAESTRO,£3.50,VALID-CODE,PROD-VC-004,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-EC5B76695FFC7D3E
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000048,TKT-SLS-000048,2025-03-01T15:25:52Z,2025-03-01T18:30:52Z,2025-03-01T18:29:52Z,185,CREDIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-605773550979AA94
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000049,TKT-SLS-000049,2025-03-01T11:19:00Z,,2025-03-01T12:23:00Z,,DEBIT_CARD,AMEX,£3.50,VALID-CODE,PROD-VC-004,£0.00,20,£0.00,£0.00,SIX,AMEX,SIX-7E848CA92F769748
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000050,TKT-SLS-000050,2025-03-01T16:36:18Z,2025-03-01T17:09:18Z,2025-03-01T17:04:18Z,33,CASH,N/A,£2.00,,,£2.00,20,£0.33,£2.00,N/A,N/A,N/A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000051,TKT-SLS-000051,2025-03-01T10:57:52Z,2025-03-01T11:39:52Z,2025-03-01T11:36:52Z,42,CONTACTLESS,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-6853A6F64A1860C8
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000052,TKT-SLS-000052,2025-03-01T12:52:09Z,2025-03-01T15:35:09Z,2025-03-01T15:31:09Z,163,DEBIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-1FAEE82F526B7B55
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000053,TKT-SLS-000053,2025-03-01T10:31:22Z,2025-03-01T11:18:22Z,2025-03-01T11:17:22Z,47,CREDIT_CARD,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-963A5A07084E6B42
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000054,TKT-SLS-000054,2025-03-01T10:04:29Z,2025-03-01T10:23:29Z,2025-03-01T10:21:29Z,19,CASH,N/A,£2.00,,,£2.00,20,£0.33,£2.00,N/A,N/A,N/A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000055,TKT-SLS-000055,2025-03-01T12:17:42Z,2025-03-01T14:32:42Z,2025-03-01T14:31:42Z,135,DEBIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-755FCE4876CF6CD5
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000056,TKT-SLS-000056,2025-03-01T12:09:53Z,2025-03-01T14:16:53Z,2025-03-01T14:15:53Z,127,DEBIT_CARD,MASTERCARD,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-B67CF47990087786
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000057,TKT-SLS-000057,2025-03-01T19:02:12Z,2025-03-01T19:49:12Z,2025-03-01T19:45:12Z,47,DEBIT_CARD,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-F646D971A1B88F10
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000058,TKT-SLS-000058,2025-03-01T12:13:04Z,2025-03-01T14:09:04Z,2025-03-01T14:04:04Z,116,DEBIT_CARD,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-66878AB489979024
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000059,TKT-SLS-000059,2025-03-01T11:06:05Z,2025-03-01T16:35:05Z,2025-03-01T16:34:05Z,329,CREDIT_CARD,VISA,£7.00,,,£7.00,20,£1.17,£7.00,SIX,Worldpay,SIX-A3EB29A14771E091
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000060,TKT-SLS-000060,2025-03-01T09:37:04Z,2025-03-01T10:09:04Z,2025-03-01T10:05:04Z,32,CONTACTLESS,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-A7D3ED31933DDA48
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000061,TKT-SLS-000061,2025-03-01T13:04:41Z,2025-03-01T13:52:41Z,2025-03-01T13:50:41Z,48,CREDIT_CARD,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-36CBD3D1199FB1FC
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000062,TKT-SLS-000062,2025-03-01T12:42:39Z,2025-03-01T15:08:39Z,2025-03-01T15:03:39Z,146,DEBIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-0AF3A3FAC4A30745
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000063,TKT-SLS-000063,2025-03-01T15:14:04Z,2025-03-01T15:40:04Z,2025-03-01T15:36:04Z,26,DEBIT_CARD,VISA,£2.00,PROMO-20,PROD-PR-003,£1.60,20,£0.27,£1.60,SIX,Worldpay,SIX-D5D02B3E456468E8
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000064,TKT-SLS-000064,2025-03-01T12:22:02Z,2025-03-01T14:30:02Z,2025-03-01T14:26:02Z,128,CONTACTLESS,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-DF40F51067909C8A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000065,TKT-SLS-000065,2025-03-01T13:58:48Z,2025-03-01T15:18:48Z,2025-03-01T15:13:48Z,80,CREDIT_CARD,MASTERCARD,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-4E4012DF7156956B
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000066,TKT-SLS-000066,2025-03-01T19:54:59Z,2025-03-01T20:31:59Z,2025-03-01T20:30:59Z,37,DEBIT_CARD,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-E30977BC89A6F8F3
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000067,TKT-SLS-000067,2025-03-01T17:33:11Z,2025-03-01T18:18:11Z,2025-03-01T18:17:11Z,45,CASH,N/A,£2.00,,,£2.00,20,£0.33,£2.00,N/A,N/A,N/A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000068,TKT-SLS-000068,2025-03-01T14:31:31Z,2025-03-01T15:31:31Z,2025-03-01T15:26:31Z,60,CREDIT_CARD,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-448921CA87C9904A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000069,TKT-SLS-000069,2025-03-01T12:49:17Z,,2025-03-01T15:33:17Z,,CREDIT_CARD,AMEX,£5.00,,,£5.00,20,£0.83,£5.00,SIX,AMEX,SIX-6EB42F3F78528801
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000070,TKT-SLS-000070,2025-03-01T10:32:03Z,2025-03-01T13:42:03Z,2025-03-01T13:37:03Z,190,CREDIT_CARD,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-1F9E129377726012
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000071,TKT-SLS-000071,2025-03-01T14:26:10Z,2025-03-01T14:46:10Z,2025-03-01T14:43:10Z,20,CREDIT_CARD,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-CF4F5E6264228880
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000072,TKT-SLS-000072,2025-03-01T16:57:46Z,2025-03-01T18:18:46Z,2025-03-01T18:16:46Z,81,APP,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-7F6F31AB48609ECC
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000073,TKT-SLS-000073,2025-03-01T16:51:04Z,2025-03-01T17:34:04Z,2025-03-01T17:33:04Z,43,CONTACTLESS,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-A1DD58B39BC49410
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000074,TKT-SLS-000074,2025-03-01T14:41:04Z,2025-03-01T15:58:04Z,2025-03-01T15:56:04Z,77,CONTACTLESS,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-C03174B47DDE4A95
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000075,TKT-SLS-000075,2025-03-01T20:06:11Z,2025-03-01T21:43:11Z,2025-03-01T21:38:11Z,97,CONTACTLESS,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-F67508B436EB7FFC
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000076,TKT-SLS-000076,2025-03-01T08:04:37Z,2025-03-01T10:55:37Z,2025-03-01T10:54:37Z,171,APP,VISA,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-62731465C4A7B516
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000077,TKT-SLS-000077,2025-03-01T16:39:10Z,,2025-03-01T18:32:10Z,,CREDIT_CARD,AMEX,£3.50,,,£3.50,20,£0.58,£3.50,SIX,AMEX,SIX-34BC184CD8E9BDD6
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000078,TKT-SLS-000078,2025-03-01T14:53:44Z,2025-03-01T15:30:44Z,2025-03-01T15:28:44Z,37,APP,MASTERCARD,£2.00,SEASON-Q1,PROD-SQ-002,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-D4B04E4640181043
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000079,TKT-SLS-000079,2025-03-01T10:40:50Z,2025-03-01T11:11:50Z,2025-03-01T11:06:50Z,31,DEBIT_CARD,VISA,£2.00,VALID-CODE,PROD-VC-004,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-50F5D13B117EFED5
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000080,TKT-SLS-000080,2025-03-01T17:10:03Z,2025-03-01T19:06:03Z,2025-03-01T19:01:03Z,116,CONTACTLESS,VISA,£3.50,,,£3.50,20,£0.58,£3.50,SIX,Worldpay,SIX-C67FB271733BD809
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000081,TKT-SLS-000081,2025-03-01T12:59:48Z,2025-03-01T17:44:48Z,2025-03-01T17:43:48Z,285,CREDIT_CARD,VISA,£7.00,,,£7.00,20,£1.17,£7.00,SIX,Worldpay,SIX-44567E89B1CDC124
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000082,TKT-SLS-000082,2025-03-01T15:36:10Z,2025-03-01T17:39:10Z,2025-03-01T17:36:10Z,123,CONTACTLESS,AMEX,£5.00,,,£5.00,20,£0.83,£5.00,SIX,AMEX,SIX-B729D27E1999F462
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000083,TKT-SLS-000083,2025-03-01T15:05:23Z,2025-03-01T16:01:23Z,2025-03-01T16:00:23Z,56,DEBIT_CARD,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-8D6111DBD3EF01E9
